Metric,Value,Variable,Coef.,Std.Err.,T-Stat,P-Value,CI Lower,CI Upper
No. of Observations,2299.0,,,,,,,
No. of Time Periods,6.0,,,,,,,
R-squared (Overall),0.1917,,,,,,,
Adjusted R-squared,0.1825,,,,,,,
R-squared (Within),0.1478,,,,,,,
R-squared (Between),0.192,,,,,,,
Log-likelihood,6276.87,,,,,,,
F-statistic,21.57,,,,,,,
F-statistic (p-value),0.0,,,,,,,
RMSLE,0.0157,,,,,,,
---,---,,,,,,,
,,Intercept,0.0119,0.001,11.416,0.0,0.0099,0.014
,,점포수_대비_매출액_log,-0.0003,0.0005,-0.6353,0.5253,-0.0012,0.0006
,,상권_변화_지표_HL,0.0061,0.0011,5.3333,0.0,0.0039,0.0084
,,상권_변화_지표_LH,-0.0023,0.0011,-2.091,0.0366,-0.0045,-0.0001
,,상권_변화_지표_LL,-0.0042,0.001,-4.2284,0.0,-0.0061,-0.0022
,,폐업_률_log,0.0011,0.0003,3.2753,0.0011,0.0005,0.0018
,,음식_지출_총금액_log,-0.0045,0.0008,-5.337,0.0,-0.0061,-0.0028
,,의료비_지출_총금액_log,-0.0005,0.0006,-0.7943,0.4271,-0.0017,0.0007
,,교육_지출_총금액_log,0.0004,0.0006,0.7365,0.4615,-0.0007,0.0015
,,아파트_평균_시가_log,-0.0008,0.0006,-1.3606,0.1738,-0.0019,0.0003
,,아파트_단지_수_log,0.0005,0.0005,0.9031,0.3666,-0.0005,0.0014
,,유동인구_10_30대_log,0.0007,0.0015,0.4695,0.6387,-0.0023,0.0037
,,유동인구_40_이상_log,-0.0012,0.0014,-0.8678,0.3856,-0.0039,0.0015
,,총_직장인구_수_log,-0.0024,0.0005,-4.8182,0.0,-0.0034,-0.0014
,,집객시설_수_log,0.0008,0.0006,1.2986,0.1942,-0.0004,0.002
,,총_상주인구_수,0.0006,0.0005,1.1724,0.2411,-0.0004,0.0017
,,20_30_인구비_log,0.0002,0.0009,0.1842,0.8539,-0.0016,0.0019
,,31_50_인구비_log,0.0001,0.0006,0.2516,0.8014,-0.001,0.0013
,,분기_20233,0.0012,0.0011,1.0697,0.2849,-0.001,0.0035
,,분기_20241,-0.0,0.0015,-0.0007,0.9994,-0.0029,0.0029
,,분기_20242,0.0081,0.0013,6.3103,0.0,0.0056,0.0106
,,분기_20243,0.005,0.0015,3.322,0.0009,0.002,0.0079
,,분기_20244,0.0111,0.0013,8.4884,0.0,0.0085,0.0136
,,상권_변화_지표_HL:20_30_인구비_log,0.007,0.0014,5.0298,0.0,0.0043,0.0098
,,상권_변화_지표_LH:20_30_인구비_log,0.0019,0.001,1.9126,0.0559,-0.0,0.0039
,,상권_변화_지표_LL:20_30_인구비_log,0.003,0.0009,3.4398,0.0006,0.0013,0.0047
