변수,카테고리,z값,p값,결론
정부지원정책_추진정책1코드명,기술지원,-0.92,0.3575,차이 없음
정부지원정책_추진정책1코드명,기타,1.66,0.0969,차이 없음
정부지원정책_추진정책1코드명,세제지원,-2.167,0.0302,유의미한 비율 차이 있음
정부지원정책_추진정책1코드명,인력지원,-7.289,0.0,유의미한 비율 차이 있음
정부지원정책_추진정책1코드명,자금지원,6.028,0.0,유의미한 비율 차이 있음
정부지원정책_추진정책1코드명,정보화지원,-0.27,0.7871,차이 없음
정부지원정책_추진정책1코드명,퇴로지원,1.66,0.0969,차이 없음
정부지원정책_추진정책1코드명,판로지원,0.816,0.4144,차이 없음
정부지원정책_추진정책2코드명,기술지원,-0.437,0.6622,차이 없음
정부지원정책_추진정책2코드명,기타,-0.253,0.8,차이 없음
정부지원정책_추진정책2코드명,세제지원,-0.63,0.5289,차이 없음
정부지원정책_추진정책2코드명,인력지원,-1.837,0.0662,차이 없음
정부지원정책_추진정책2코드명,자금지원,-0.253,0.8,차이 없음
정부지원정책_추진정책2코드명,정보화지원,-0.285,0.7757,차이 없음
정부지원정책_추진정책2코드명,퇴로지원,2.109,0.035,유의미한 비율 차이 있음
정부지원정책_추진정책2코드명,판로지원,2.164,0.0305,유의미한 비율 차이 있음
사업전환_운영계획코드명,계속운영,-4.012,0.0001,유의미한 비율 차이 있음
사업전환_운영계획코드명,"사업전환(업종전환, 재창업)",1.605,0.1084,차이 없음
사업전환_운영계획코드명,은퇴(비경제활동),2.625,0.0087,유의미한 비율 차이 있음
사업전환_운영계획코드명,폐업 후 임금 근로자 희망,2.51,0.0121,유의미한 비율 차이 있음
경영_운영활동코드1명,"기술혁신(신제품 및 기술 개발, 서비스 개선, 공정 개선 등)",-0.017,0.9862,차이 없음
경영_운영활동코드1명,"디지털/시스템화(SNS 운영 및 모바일 앱 주문, 무인결제·POS 설치)",-2.181,0.0292,유의미한 비율 차이 있음
경영_운영활동코드1명,"직무능력개발(교육 및 훈련 참여, 컨설팅 받음, 자격증 취득 등)",-0.891,0.3732,차이 없음
경영_운영활동코드1명,"홍보활동(전단지 및 명함 배포, 현수막 설치 등 오프라인 홍보활동)",-2.089,0.0367,유의미한 비율 차이 있음
경영_운영활동코드1명,활동사항 없음,2.603,0.0092,유의미한 비율 차이 있음
