기준_년분기_코드,행정동_코드,행정동,당월_매출_금액,행정동_코드_명_y,점포_수,개업_점포_수,폐업_점포_수,개업_률,폐업_률,상권_변화_지표,상권_변화_지표_명,운영_영업_개월_평균,폐업_영업_개월_평균,운영_영업_개월_차이,폐업_영업_개월_차이,월_평균_소득_금액,음식_지출_총금액,의료비_지출_총금액,교육_지출_총금액,아파트_단지_수,아파트_평균_시가,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,남성_직장_인구_수,여성_직장_인구_수,연령대_10_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,연령대_50_직장_인구_수,연령대_60_이상_직장_인구_수,집객시설_수,총_상주인구_수,행정동코드,총인구수_합,1인가구수_합,1인_가구비,20_30_인구비,31_50_인구비,51_75_인구비,행정동_명,업소수,전분기대비_유지율,전분기대비_증감업소수,총_유동인구_수,점포수_대비_매출액,유동인구_10_30대,유동인구_40_이상,총_직장인구_수,착한가격_업소수_비중
20233,11110515,청운효자동,6649375185,청운효자동,196,3,2,0.02,0.01,LH,상권확장,92,54,-9,3,3780222,913620000,116828000,61814000,323,276146690,1472108,1984930,697337,456435,509481,595976,518663,679148,4377.0,2369.0,5.0,1236.0,1971.0,1894.0,1195.0,445.0,93,13009,1101072.0,10783.0,1715.0,0.1590466475006955,0.248632106092924,0.4316980432161736,0.3196698506909023,,0.0,0.0,0.0,3457038,33925383,1663253,1793787,6746.0,0.0
20233,11110530,사직동,52948472166,사직동,657,17,21,0.03,0.03,HH,정체,112,58,11,7,5007768,6066022000,1757304000,171654000,89,371237211,1801029,2065899,359440,596603,794911,775980,636765,703229,21967.0,13127.0,14.0,4645.0,9916.0,10573.0,6962.0,2984.0,206,8486,1101053.0,7845.0,1908.0,0.2432122370936902,0.2606755895474825,0.3917144678138942,0.3476099426386233,사직동,2.0,1.0,2.0,3866928,80591281,1750954,2115974,35094.0,0.003
20233,11110540,삼청동,12862555294,삼청동,164,6,3,0.04,0.02,LH,상권확장,94,56,-7,5,3442534,1316987000,79269000,1341000,9,401044841,445116,495648,117953,145447,166834,173360,143479,193689,3332.0,704.0,0.0,481.0,1082.0,1272.0,961.0,240.0,49,2597,1101054.0,2412.0,818.0,0.3391376451077943,0.2280265339966832,0.3640132669983416,0.4079601990049751,,0.0,0.0,0.0,940764,78430215,430234,510528,4036.0,0.0
20233,11110550,부암동,2413113746,부암동,79,1,4,0.01,0.05,HH,정체,104,57,3,6,3647449,638720000,88621000,73116000,189,259634651,509335,622256,230728,134745,124991,183994,180893,276238,693.0,548.0,0.0,208.0,359.0,339.0,242.0,93.0,84,9744,1101055.0,9113.0,1540.0,0.1689893558652474,0.2961703061560408,0.3759464501261934,0.3278832437177658,,0.0,0.0,0.0,1131591,30545743,490464,641125,1241.0,0.0
20233,11110560,평창동,4024505510,평창동,83,1,3,0.01,0.04,HH,정체,112,59,11,8,4504006,948033000,223953000,167187000,294,480839259,332824,425568,126105,77941,79833,112352,137376,224786,8020.0,6259.0,0.0,1761.0,3843.0,4697.0,3106.0,872.0,162,17852,1101056.0,15369.0,1622.0,0.1055371201769796,0.2351486759060446,0.3916975730366321,0.3731537510573232,,0.0,0.0,0.0,758392,48488018,283879,474514,14279.0,0.0
20233,11110570,무악동,1187848850,무악동,22,1,2,0.05,0.09,HH,정체,107,60,6,9,5136717,156621000,2001397000,60571000,47,660258193,852552,1063618,368719,217551,236780,289522,294059,509539,129.0,366.0,0.0,141.0,142.0,128.0,61.0,23.0,42,8491,1101057.0,6358.0,789.0,0.1240956275558351,0.210915382195659,0.4477823214847436,0.3413022963195973,,0.0,0.0,0.0,1916170,53993129,823050,1093120,495.0,0.0
20233,11110580,교남동,3001237926,교남동,63,1,3,0.02,0.05,LH,상권확장,85,56,-16,5,4616890,448848000,1102926000,183858000,231,235058041,1732867,2083934,804809,438593,516024,655152,583484,818738,395.0,269.0,0.0,67.0,171.0,185.0,139.0,102.0,78,4425,1101058.0,4197.0,717.0,0.1708363116511794,0.2292113414343578,0.3990945913747915,0.3716940671908506,,0.0,0.0,0.0,3816801,47638697,1759426,2057374,664.0,0.0
20233,11110600,가회동,16277733734,가회동,162,3,6,0.02,0.04,HH,정체,101,59,0,8,3479766,1666858000,21343000,59614000,126,284759882,639331,642503,196807,176619,229063,240574,202717,236054,8528.0,2917.0,1.0,1223.0,3951.0,3439.0,2148.0,683.0,63,4350,1101060.0,3981.0,1140.0,0.2863602110022607,0.2388847023360964,0.39939713639789,0.3617181612660136,,0.0,0.0,0.0,1281834,100479837,602489,679345,11445.0,0.0
20233,11110615,종로1·2·3·4가동,139466658043,종로1·2·3·4가동,1567,54,52,0.03,0.03,HH,정체,143,66,42,15,3245251,19053193000,6429626000,2058529000,9,278382323,7514743,6356244,698815,2773030,2829177,2653629,2246665,2669673,63962.0,52060.0,1532.0,23530.0,35387.0,31829.0,18187.0,5557.0,500,7051,1101061.0,6847.0,3410.0,0.4980283335767489,0.2620125602453629,0.3388345260698115,0.3991529136848254,종로1.2.3.4가동,5.0,1.0,5.0,13870987,89002334,6301022,7569967,116022.0,0.003
20233,11110630,종로5·6가동,22688296772,종로5·6가동,365,12,10,0.03,0.03,HH,정체,134,65,33,14,2531450,3033676000,2981564000,93861000,10,127248788,3176251,3061809,384899,1025475,991105,987280,1193177,1656125,11964.0,7152.0,437.0,4501.0,5551.0,4724.0,2880.0,1023.0,212,5316,1101063.0,5042.0,2168.0,0.4299880999603332,0.2978976596588655,0.3411344704482348,0.3609678698928996,종로5.6가동,1.0,1.0,1.0,6238060,62159717,2401479,3836582,19116.0,0.003
