조사차수,일반_대표자_성별코드,대표자연령대코드,일반_합계종사자수,일반_합계_남자종사자수,일반_합계_여자종사자수,일반_대표자종사자수,일반_대표자_남자종사자수,일반_대표자_여자종사자수,일반_근로계약기간_1년이상_종사자수,일반_근로계약기간_1년이상_남자종사자수,일반_근로계약기간_1년이상_여자종사자수,일반_근로계약기간_3개월이상1년미만_종사자수,일반_근로계약기간_3개월이상1년미만_남자종사자수,일반_근로계약기간_3개월이상1년미만_여자종사자수,일반_근로계약기간_3개월미만_종사자수,일반_근로계약기간_3개월미만_남자종사자수,일반_근로계약기간_3개월미만_여자종사자수,일반_무급가족종사자수,일반_무급가족_남자종사자수,일반_무급가족_여자종사자수,일반_기타근로자종사자수,일반_기타근로자_남자종사자수,일반_기타근로자_여자종사자수,일반_사업자형태코드,산업중분류코드,일반_프랜차이즈가맹점여부,일반_창업형태코드,일반_창업인수승계_연도,일반_창업인수승계_월,일반_사업장이전_경험여부,일반_사업장이전_사유코드,일반_현사업체_직전종사상지위항목코드,일반_창업횟수,창업_동기코드,창업_준비기간_창업_준비기간_년수,창업_준비기간_창업_준비기간_월수,창업_준비활동중요성_사업계획서작성코드,창업_준비활동중요성_시장조사코드,창업_준비활동중요성_동종업종종사경험코드,창업_준비활동중요성_창업교육코드,창업_준비활동_사업계획서작성여부,창업_준비활동_시장조사여부,창업_준비활동_동종업종종사경험여부,창업_준비활동_창업교육여부,창업_어려움정도_입지선정코드,창업_어려움정도_업종선택코드,창업_어려움정도_자금조달코드,창업_어려움정도_기술확보코드,창업_어려움정도_인력확보코드,창업_어려움정도_행정절차코드,창업_어려움정도_경영방법코드,창업_비용_총창업비용,창업_비용_본인부담금액,경영_영업기간_하루평균시간수,경영_영업기간_월평균일수,경영_영업기간_년간월수,경영_고객결재방법_현금비율,경영_고객결재방법_카드비율,경영_고객결재방법_간편결제비율,경영_고객결재방법_어음비율,경영_고객결재방법_기타비율,경영_고객결재방법_합계비율,경영_점유형태코드,경영_점유형태_임차형태코드,경영_점유형태_보증금액,경영_점유형태_월세금액,경영_점유형태_일정비율지급금액,경영_운영활동코드1,경영_운영활동코드2,경영_운영활동코드3,경영_운영활동코드4,경영_운영활동코드5,경영_운영활동_디지털대응1코드,경영_운영활동_디지털대응2코드,경영_운영활동_디지털대응3코드,경영_운영활동_디지털대응4코드,경영_운영활동_디지털대응5코드,경영_운영활동_디지털대응6코드,경영_단체활동여부,경영_매출금액,경영_영업비용,경영_영업비용_매출원가,경영_영업비용_급여총액,경영_영업비용_임차료,경영_영업비용_기타금액,경영_영업이익,경영_전자상거래_매출실적여부,경영_전자상거래_매출비율,경영_부채여부,경영_부채금액,경영_애로사항1코드,경영_애로사항2코드,정부지원정책_지원경험코드,정부지원정책_추진정책1코드,정부지원정책_추진정책2코드,정부지원정책_재난지원1코드,정부지원정책_재난지원2코드,사업전환_운영계획코드,사업전환_운영계획_소유권승계계획여부,사업전환_노후준비1해당여부,사업전환_노후준비2해당여부,사업전환_노후준비3해당여부,사업전환_노후준비4해당여부,사업전환_노후준비5해당여부,사업체수가중값,종사자수가중값,매출금액가중값,행정구역시도코드,기준연도,일반_대표자_성별코드명,대표자연령대코드명,일반_사업자형태코드명,산업중분류코드명,일반_프랜차이즈가맹점여부명,일반_창업형태코드명,일반_사업장이전_경험여부명,일반_사업장이전_사유코드명,일반_현사업체_직전종사상지위항목코드명,창업_동기코드명,창업_준비활동중요성_사업계획서작성코드명,창업_준비활동중요성_시장조사코드명,창업_준비활동중요성_동종업종종사경험코드명,창업_준비활동중요성_창업교육코드명,창업_준비활동_사업계획서작성여부명,창업_준비활동_시장조사여부명,창업_준비활동_동종업종종사경험여부명,창업_준비활동_창업교육여부명,창업_어려움정도_입지선정코드명,창업_어려움정도_업종선택코드명,창업_어려움정도_자금조달코드명,창업_어려움정도_기술확보코드명,창업_어려움정도_인력확보코드명,창업_어려움정도_행정절차코드명,창업_어려움정도_경영방법코드명,경영_점유형태코드명,경영_점유형태_임차형태코드명,경영_운영활동코드1명,경영_운영활동코드2명,경영_운영활동코드3명,경영_운영활동코드4명,경영_운영활동코드5명,경영_운영활동_디지털대응1코드명,경영_운영활동_디지털대응2코드명,경영_운영활동_디지털대응3코드명,경영_운영활동_디지털대응4코드명,경영_운영활동_디지털대응5코드명,경영_운영활동_디지털대응6코드명,경영_단체활동여부명,경영_전자상거래_매출실적여부명,경영_부채여부명,경영_애로사항1코드명,경영_애로사항2코드명,정부지원정책_지원경험코드명,정부지원정책_추진정책1코드명,정부지원정책_추진정책2코드명,정부지원정책_재난지원1코드명,정부지원정책_재난지원2코드명,사업전환_운영계획코드명,사업전환_운영계획_소유권승계계획여부명,사업전환_노후준비1해당여부명,사업전환_노후준비2해당여부명,사업전환_노후준비3해당여부명,사업전환_노후준비4해당여부명,사업전환_노후준비5해당여부명,행정구역시도코드명,그룹구분
6,1,20,1,1.0,,1,1.0,,,,,,,,,,,,,,,,,1,56,1,1,2021,3,2,,4,1,3.0,0.0,3.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,50.0,30.0,10,25,12,,100.0,,,,100.0,2,1.0,500.0,80.0,,2.0,,,,,,,,,,,2,40,36,20.0,0.0,10.0,6.0,4,1,100.0,1,30.0,1.0,2.0,1,5.0,,1.0,,3,,6.0,,,,,731.7169811321,587.9411764706,639.1648239148,38,2022,남,20대,개인,음식점 및 주점업,프랜차이즈 가맹점,신규창업(현 사업체를 처음 설립),아니오,,"일을 하지 않았음(주부, 학생 등)",수입이 더 많을거 같아서,100%(매우 중요),100%(매우 중요),100%(매우 중요),100%(매우 중요),수행,수행,수행,수행,50%(어려움),25%,0%(어려움 없음),0%(어려움 없음),0%(어려움 없음),0%(어려움 없음),0%(어려움 없음),임차(전대차 포함),보증금 있는 월세(반전세 포함),"홍보활동(전단지 및 명함 배포, 현수막 설치 등 오프라인 홍보활동)",,,,,,,,,,,아니오,예,예,상권쇠퇴,동일 업종 경쟁심화,지원받음,판로지원,,재난지원금 등 보조금 지원,,폐업 후 임금 근로자 희망,,없음,,,,,경남,상권쇠퇴
6,1,20,2,1.0,1.0,1,1.0,,,,,,,,,,,1.0,,1.0,,,,1,56,2,1,2020,12,2,,3,1,2.0,0.0,4.0,4.0,3.0,3.0,4.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,39.0,39.0,7,28,12,30.0,70.0,,,,100.0,2,3.0,3000.0,,,6.0,,,,,,,,,,,2,96,49,45.0,0.0,0.0,4.0,47,2,,1,2.0,1.0,3.0,1,1.0,5.0,2.0,4.0,1,2.0,6.0,,,,,754.1481481481,633.4285714286,687.1287940935,36,2022,남,20대,개인,음식점 및 주점업,프랜차이즈 가맹점 아님,신규창업(현 사업체를 처음 설립),아니오,,임금근로자,자신만의 사업을 직접 경영하고 싶어서,75%,50%,50%,75%,미수행,수행,수행,수행,50%(어려움),50%(어려움),50%(어려움),25%,25%,25%,50%(어려움),임차(전대차 포함),전세(월세 없음),활동사항 없음,,,,,,,,,,,아니오,아니오,예,상권쇠퇴,원재료비·재료매입비·매입원가,지원받음,자금지원,판로지원,정책자금 융자 확대,착한임대인 등 임대료 상생제도 마련,계속운영,아니오,없음,,,,,전남,상권쇠퇴
6,1,20,2,1.0,1.0,1,1.0,,,,,,,,,,,1.0,,1.0,,,,1,56,2,1,2021,3,2,,3,1,3.0,0.0,3.0,4.0,5.0,5.0,4.0,1.0,2.0,1.0,1.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,25.0,25.0,10,30,12,100.0,,,,,100.0,2,1.0,300.0,30.0,,6.0,,,,,,,,,,,2,32,21,15.0,0.0,4.0,2.0,11,2,,2,,1.0,,1,5.0,6.0,1.0,,1,1.0,6.0,,,,,824.2592592593,616.1777777778,944.5203476887,23,2022,남,20대,개인,음식점 및 주점업,프랜차이즈 가맹점 아님,신규창업(현 사업체를 처음 설립),아니오,,임금근로자,수입이 더 많을거 같아서,75%,100%(매우 중요),100%(매우 중요),75%,수행,미수행,수행,수행,75%,50%(어려움),75%,50%(어려움),75%,75%,75%,임차(전대차 포함),보증금 있는 월세(반전세 포함),활동사항 없음,,,,,,,,,,,아니오,아니오,아니오,상권쇠퇴,,지원받음,판로지원,정보화지원,재난지원금 등 보조금 지원,,계속운영,예,없음,,,,,인천,상권쇠퇴
6,1,20,2,1.0,1.0,1,1.0,,,,,1.0,,1.0,,,,,,,,,,1,56,2,1,2019,8,2,,3,1,2.0,2.0,6.0,4.0,4.0,5.0,5.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,100.0,50.0,8,26,12,5.0,95.0,,,,100.0,2,1.0,1500.0,15.0,,6.0,,,,,,,,,,,2,199,187,80.0,2.0,15.0,90.0,12,1,10.0,1,2.0,1.0,3.0,1,1.0,3.0,1.0,5.0,1,1.0,1.0,4.0,,,,223.15625,206.6160714286,201.5978147158,25,2022,남,20대,개인,음식점 및 주점업,프랜차이즈 가맹점 아님,신규창업(현 사업체를 처음 설립),아니오,,임금근로자,자신만의 사업을 직접 경영하고 싶어서,75%,75%,100%(매우 중요),100%(매우 중요),수행,수행,수행,수행,75%,25%,50%(어려움),50%(어려움),25%,50%(어려움),50%(어려움),임차(전대차 포함),보증금 있는 월세(반전세 포함),활동사항 없음,,,,,,,,,,,아니오,예,예,상권쇠퇴,원재료비·재료매입비·매입원가,지원받음,자금지원,세제지원,재난지원금 등 보조금 지원,"전기, 가스, 수도 요금 등 공공요금 지원",계속운영,예,연금(국민·공적·개인·퇴직연금 등),"저축(예금, 적금, 저축성 보험 등)",,,,대전,상권쇠퇴
6,1,20,2,2.0,,1,1.0,,,,,,,,,,,,,,1.0,1.0,,2,56,2,1,2021,11,2,,1,2,3.0,1.0,0.0,5.0,5.0,5.0,3.0,2.0,1.0,1.0,2.0,3.0,2.0,4.0,3.0,3.0,4.0,4.0,150.0,150.0,12,30,12,20.0,80.0,,,,100.0,2,1.0,2000.0,300.0,,2.0,4.0,,,,5.0,,,,,,2,79,130,25.0,24.0,14.0,67.0,-51,1,10.0,1,37.0,1.0,2.0,1,1.0,3.0,1.0,2.0,1,2.0,1.0,4.0,,,,747.0689655172,671.5853658537,785.0422231797,22,2022,남,20대,법인사업자,음식점 및 주점업,프랜차이즈 가맹점 아님,신규창업(현 사업체를 처음 설립),아니오,,다른 업종 사업자,수입이 더 많을거 같아서,100%(매우 중요),100%(매우 중요),100%(매우 중요),50%,미수행,수행,수행,미수행,50%(어려움),25%,75%,50%(어려움),50%(어려움),75%,75%,임차(전대차 포함),보증금 있는 월세(반전세 포함),"홍보활동(전단지 및 명함 배포, 현수막 설치 등 오프라인 홍보활동)","디지털/시스템화(SNS 운영 및 모바일 앱 주문, 무인결제·POS 설치)",,,,"온라인 판로(라이브커머스, 온라인쇼핑몰 입점, 배달앱 등)",,,,,,아니오,예,예,상권쇠퇴,동일 업종 경쟁심화,지원받음,자금지원,세제지원,재난지원금 등 보조금 지원,정책자금 융자 확대,계속운영,아니오,연금(국민·공적·개인·퇴직연금 등),"저축(예금, 적금, 저축성 보험 등)",,,,대구,상권쇠퇴
6,1,20,2,2.0,,1,1.0,,1.0,1.0,,,,,,,,,,,,,,1,56,2,1,2017,8,2,,4,1,2.0,0.0,3.0,4.0,5.0,3.0,3.0,1.0,1.0,2.0,2.0,4.0,2.0,4.0,4.0,3.0,1.0,2.0,130.0,80.0,8,25,12,10.0,90.0,,,,100.0,2,1.0,1000.0,80.0,,6.0,,,,,,,,,,,2,239,194,144.0,34.0,10.0,6.0,45,2,,1,3.0,1.0,3.0,1,1.0,3.0,1.0,5.0,1,2.0,3.0,4.0,,,,234.4545454545,219.6875,265.7667579645,33,2022,남,20대,개인,음식점 및 주점업,프랜차이즈 가맹점 아님,신규창업(현 사업체를 처음 설립),아니오,,"일을 하지 않았음(주부, 학생 등)",자신만의 사업을 직접 경영하고 싶어서,75%,100%(매우 중요),50%,50%,수행,수행,미수행,미수행,75%,25%,75%,75%,50%(어려움),0%(어려움 없음),25%,임차(전대차 포함),보증금 있는 월세(반전세 포함),활동사항 없음,,,,,,,,,,,아니오,아니오,예,상권쇠퇴,원재료비·재료매입비·매입원가,지원받음,자금지원,세제지원,재난지원금 등 보조금 지원,"전기, 가스, 수도 요금 등 공공요금 지원",계속운영,아니오,"투자(주식, 채권 등)","저축(예금, 적금, 저축성 보험 등)",,,,충북,상권쇠퇴
6,1,20,2,2.0,,1,1.0,,1.0,1.0,,,,,,,,,,,,,,1,56,2,1,2019,8,2,,1,2,2.0,1.0,1.0,5.0,5.0,5.0,4.0,1.0,1.0,2.0,2.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,250.0,150.0,9,30,12,10.0,90.0,,,,100.0,2,1.0,2000.0,200.0,,6.0,,,,,,,,,,,1,96,117,42.0,31.0,25.0,19.0,-21,2,,1,45.0,1.0,3.0,1,1.0,3.0,1.0,4.0,1,2.0,1.0,4.0,,,,357.9666666667,294.1196581197,337.4540607055,22,2022,남,20대,개인,음식점 및 주점업,프랜차이즈 가맹점 아님,신규창업(현 사업체를 처음 설립),아니오,,다른 업종 사업자,자신만의 사업을 직접 경영하고 싶어서,100%(매우 중요),100%(매우 중요),100%(매우 중요),75%,수행,수행,미수행,미수행,100%(매우 어려움),100%(매우 어려움),100%(매우 어려움),75%,50%(어려움),50%(어려움),50%(어려움),임차(전대차 포함),보증금 있는 월세(반전세 포함),활동사항 없음,,,,,,,,,,,예,아니오,예,상권쇠퇴,원재료비·재료매입비·매입원가,지원받음,자금지원,세제지원,재난지원금 등 보조금 지원,착한임대인 등 임대료 상생제도 마련,계속운영,아니오,연금(국민·공적·개인·퇴직연금 등),"저축(예금, 적금, 저축성 보험 등)",,,,대구,상권쇠퇴
6,1,20,2,2.0,,1,1.0,,1.0,1.0,,,,,,,,,,,,,,1,56,2,1,2020,2,2,,1,2,3.0,1.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,50.0,30.0,10,28,12,30.0,70.0,,,,100.0,2,1.0,1000.0,30.0,,6.0,,,,,,,,,,,2,78,62,30.0,24.0,4.0,4.0,16,2,,1,30.0,1.0,3.0,1,1.0,3.0,1.0,6.0,2,,6.0,,,,,415.6585365854,398.25,388.205125523,21,2022,남,20대,개인,음식점 및 주점업,프랜차이즈 가맹점 아님,신규창업(현 사업체를 처음 설립),아니오,,다른 업종 사업자,수입이 더 많을거 같아서,50%,50%,50%,50%,수행,수행,미수행,미수행,50%(어려움),50%(어려움),75%,75%,50%(어려움),50%(어려움),50%(어려움),임차(전대차 포함),보증금 있는 월세(반전세 포함),활동사항 없음,,,,,,,,,,,아니오,아니오,예,상권쇠퇴,원재료비·재료매입비·매입원가,지원받음,자금지원,세제지원,재난지원금 등 보조금 지원,"4대보험료, 국민연금 감면 등 사회보험료 완화, 지원","사업전환(업종전환, 재창업)",,없음,,,,,부산,상권쇠퇴
6,1,20,3,1.0,2.0,1,1.0,,,,,2.0,,2.0,,,,,,,,,,1,56,2,1,2020,11,1,1.0,3,1,2.0,1.0,0.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,5.0,5.0,100.0,100.0,10,26,12,10.0,90.0,,,,100.0,2,1.0,1000.0,99.0,,6.0,,,,,,,,,,,2,120,98,60.0,18.0,12.0,8.0,22,2,,1,1.0,1.0,3.0,1,1.0,3.0,1.0,2.0,1,1.0,6.0,,,,,545.9245283019,510.4972972973,507.7432821974,31,2022,남,20대,개인,음식점 및 주점업,프랜차이즈 가맹점 아님,신규창업(현 사업체를 처음 설립),예,사업확장,임금근로자,자신만의 사업을 직접 경영하고 싶어서,50%,50%,50%,50%,미수행,미수행,미수행,미수행,75%,50%(어려움),50%(어려움),50%(어려움),50%(어려움),100%(매우 어려움),100%(매우 어려움),임차(전대차 포함),보증금 있는 월세(반전세 포함),활동사항 없음,,,,,,,,,,,아니오,아니오,예,상권쇠퇴,원재료비·재료매입비·매입원가,지원받음,자금지원,세제지원,재난지원금 등 보조금 지원,정책자금 융자 확대,계속운영,예,없음,,,,,경기,상권쇠퇴
6,1,20,3,2.0,1.0,1,1.0,,,,,,,,,,,2.0,1.0,1.0,,,,1,56,2,3,2019,11,2,,4,1,,,,,,,,,,,,,,,,,,,,,14,26,12,10.0,90.0,,,,100.0,2,1.0,3500.0,160.0,,1.0,2.0,3.0,4.0,,5.0,,,,,,2,150,135,95.0,0.0,39.0,1.0,15,1,70.0,1,20.0,1.0,3.0,1,3.0,5.0,1.0,2.0,1,2.0,1.0,3.0,4.0,,,795.8378378378,597.1904761905,1065.7654736842,21,2022,남,20대,개인,음식점 및 주점업,프랜차이즈 가맹점 아님,가업승계(현 사업체를 친·인척에게 무상으로 인수),아니오,,"일을 하지 않았음(주부, 학생 등)",,,,,,,,,,,,,,,,,임차(전대차 포함),보증금 있는 월세(반전세 포함),"기술혁신(신제품 및 기술 개발, 서비스 개선, 공정 개선 등)","홍보활동(전단지 및 명함 배포, 현수막 설치 등 오프라인 홍보활동)","직무능력개발(교육 및 훈련 참여, 컨설팅 받음, 자격증 취득 등)","디지털/시스템화(SNS 운영 및 모바일 앱 주문, 무인결제·POS 설치)",,"온라인 판로(라이브커머스, 온라인쇼핑몰 입점, 배달앱 등)",,,,,,아니오,예,예,상권쇠퇴,원재료비·재료매입비·매입원가,지원받음,세제지원,판로지원,재난지원금 등 보조금 지원,정책자금 융자 확대,계속운영,아니오,연금(국민·공적·개인·퇴직연금 등),"투자(주식, 채권 등)","저축(예금, 적금, 저축성 보험 등)",,,부산,상권쇠퇴
